,reference,country,title,author,is_gov,word_count,Body,central_bank,year,language,vader_polarity,lm_polarity,finbert_polarity
1998-09-15,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-16,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-17,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-18,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-19,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-20,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-21,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-22,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-23,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-24,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-25,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-26,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-27,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-28,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
1998-09-29,r980915a_BOE,United Kingdom,Speech,George,False,2387,BOE,Bank of England,1998,en,0.9968,-0.4181818143801653,-0.26921195
