date,euro
01/12/2003,1.43659997
02/12/2003,1.430799961
03/12/2003,1.425099969
04/12/2003,1.424200058
05/12/2003,1.421300054
08/12/2003,1.418499947
09/12/2003,1.424299955
10/12/2003,1.426900029
11/12/2003,1.42840004
12/12/2003,1.42110002
15/12/2003,1.418400049
16/12/2003,1.422899961
17/12/2003,1.423099995
18/12/2003,1.425400019
19/12/2003,1.427299976
22/12/2003,1.421700001
23/12/2003,1.422099948
24/12/2003,1.424900055
25/12/2003,1.423900008
26/12/2003,1.426900029
29/12/2003,1.420300007
30/12/2003,1.416000009
31/12/2003,1.420300007
01/01/2004,1.418799996
02/01/2004,1.426900029
05/01/2004,1.423499942
06/01/2004,1.431100011
07/01/2004,1.437700033
08/01/2004,1.436200023
09/01/2004,1.443199992
12/01/2004,1.448500037
13/01/2004,1.445799947
14/01/2004,1.448300004
15/01/2004,1.448400021
16/01/2004,1.449499965
19/01/2004,1.443500042
20/01/2004,1.444800019
21/01/2004,1.447199941
22/01/2004,1.448799968
23/01/2004,1.450099945
26/01/2004,1.453400016
27/01/2004,1.445299983
28/01/2004,1.458899975
29/01/2004,1.463500023
30/01/2004,1.462800026
02/02/2004,1.46510005
03/02/2004,1.464599967
04/02/2004,1.460700035
05/02/2004,1.460899949
06/02/2004,1.45389998
09/02/2004,1.46510005
10/02/2004,1.471500039
11/02/2004,1.474900007
12/02/2004,1.476699948
13/02/2004,1.480200052
16/02/2004,1.478899956
17/02/2004,1.481600046
18/02/2004,1.486600041
19/02/2004,1.488499999
20/02/2004,1.485399961
23/02/2004,1.485200047
24/02/2004,1.490700006
25/02/2004,1.497699976
26/02/2004,1.496999979
27/02/2004,1.496600032
01/03/2004,1.499899983
02/03/2004,1.506299973
03/03/2004,1.498900056
04/03/2004,1.493399978
05/03/2004,1.491600037
08/03/2004,1.491099954
09/03/2004,1.481899977
10/03/2004,1.474300027
11/03/2004,1.465600014
12/03/2004,1.475399971
15/03/2004,1.470800042
16/03/2004,1.478500009
17/03/2004,1.485900044
18/03/2004,1.48150003
19/03/2004,1.492499948
22/03/2004,1.496500015
23/03/2004,1.50030005
24/03/2004,1.503600001
25/03/2004,1.489500046
26/03/2004,1.497699976
29/03/2004,1.495499969
30/03/2004,1.499500036
31/03/2004,1.496799946
01/04/2004,1.501199961
02/04/2004,1.506700039
05/04/2004,1.51789999
06/04/2004,1.519600034
07/04/2004,1.512599945
08/04/2004,1.516100049
09/04/2004,1.516499996
12/04/2004,1.521600008
13/04/2004,1.523000002
14/04/2004,1.497499943
15/04/2004,1.493399978
16/04/2004,1.496099949
19/04/2004,1.503999949
20/04/2004,1.506199956
21/04/2004,1.498800039
22/04/2004,1.488800049
23/04/2004,1.494099975
