date,ftse_100
02/01/1990,2434.100098
03/01/1990,2463.699951
04/01/1990,2451.600098
05/01/1990,2444.5
08/01/1990,2431.300049
09/01/1990,2436.300049
10/01/1990,2412.600098
11/01/1990,2417.899902
12/01/1990,2380.100098
15/01/1990,2366.199951
16/01/1990,2349.100098
17/01/1990,2373.899902
18/01/1990,2336.899902
19/01/1990,2335
22/01/1990,2297.100098
23/01/1990,2291.100098
24/01/1990,2278.600098
25/01/1990,2289.899902
26/01/1990,2314.5
29/01/1990,2328.800049
30/01/1990,2322
31/01/1990,2337.300049
01/02/1990,2345.800049
02/02/1990,2355.100098
05/02/1990,2348.399902
06/02/1990,2321.100098
07/02/1990,2307.399902
08/02/1990,2331
09/02/1990,2313.600098
12/02/1990,2286.899902
13/02/1990,2293.199951
14/02/1990,2298.300049
15/02/1990,2313.800049
16/02/1990,2325.899902
19/02/1990,2297.100098
20/02/1990,2277
21/02/1990,2259.699951
22/02/1990,2269.199951
23/02/1990,2223.699951
26/02/1990,2249.300049
27/02/1990,2254.800049
28/02/1990,2255.399902
01/03/1990,2238.399902
02/03/1990,2254.800049
05/03/1990,2230.5
06/03/1990,2216
07/03/1990,2230.300049
08/03/1990,2250
09/03/1990,2234.300049
12/03/1990,2222.800049
13/03/1990,2224.5
14/03/1990,2226.100098
15/03/1990,2234.899902
16/03/1990,2263.899902
19/03/1990,2238
20/03/1990,2259.699951
21/03/1990,2250.300049
22/03/1990,2258.899902
23/03/1990,2283.899902
26/03/1990,2298.199951
27/03/1990,2266.199951
28/03/1990,2275
29/03/1990,2263
30/03/1990,2247.899902
02/04/1990,2221.600098
03/04/1990,2240.699951
04/04/1990,2231.600098
05/04/1990,2239.5
06/04/1990,2221.100098
09/04/1990,2227.699951
10/04/1990,2217.5
11/04/1990,2215.5
12/04/1990,2222.100098
17/04/1990,2214.5
18/04/1990,2205.899902
19/04/1990,2184.699951
20/04/1990,2187.100098
23/04/1990,2159.199951
24/04/1990,2159.899902
25/04/1990,2143.100098
26/04/1990,2133.600098
27/04/1990,2106.600098
30/04/1990,2103.399902
01/05/1990,2117.899902
02/05/1990,2137.600098
03/05/1990,2134.899902
04/05/1990,2162.199951
08/05/1990,2182
09/05/1990,2162.699951
10/05/1990,2157
11/05/1990,2175.899902
14/05/1990,2214.5
15/05/1990,2212.199951
16/05/1990,2222.100098
17/05/1990,2284.399902
18/05/1990,2269.100098
21/05/1990,2282.100098
22/05/1990,2311.300049
23/05/1990,2287.399902
24/05/1990,2277.100098
25/05/1990,2265.600098
29/05/1990,2295.600098
30/05/1990,2346.199951
31/05/1990,2345.100098
01/06/1990,2371.399902
04/06/1990,2379
05/06/1990,2380.100098
06/06/1990,2358.5
07/06/1990,2378.399902
08/06/1990,2366.600098
11/06/1990,2348.800049
12/06/1990,2370.699951
13/06/1990,2405.399902
14/06/1990,2403
15/06/1990,2392.300049
18/06/1990,2370.5
19/06/1990,2369.699951
20/06/1990,2371.199951
21/06/1990,2370.300049
22/06/1990,2378.5
25/06/1990,2398.5
26/06/1990,2399.800049
27/06/1990,2373.5
28/06/1990,2355.699951
29/06/1990,2374.600098
02/07/1990,2372
03/07/1990,2371.699951
04/07/1990,2355.5
05/07/1990,2331.399902
06/07/1990,2340
09/07/1990,2337.5
10/07/1990,2327.5
11/07/1990,2360.5
12/07/1990,2370.5
13/07/1990,2382.199951
16/07/1990,2406.5
17/07/1990,2415
18/07/1990,2402
19/07/1990,2387.300049
20/07/1990,2400.100098
23/07/1990,2359.699951
24/07/1990,2360.899902
25/07/1990,2364.699951
26/07/1990,2344.100098
27/07/1990,2330.100098
30/07/1990,2316.5
31/07/1990,2326.199951
01/08/1990,2339
02/08/1990,2304.5
03/08/1990,2284.600098
06/08/1990,2220.199951
07/08/1990,2235.800049
08/08/1990,2237.5
09/08/1990,2244.899902
10/08/1990,2233.800049
13/08/1990,2219.5
14/08/1990,2234
15/08/1990,2239.300049
16/08/1990,2222.100098
17/08/1990,2176.899902
20/08/1990,2156.600098
21/08/1990,2108.100098
22/08/1990,2104.800049
23/08/1990,2075
24/08/1990,2086.399902
28/08/1990,2126.100098
29/08/1990,2125.699951
30/08/1990,2153.600098
31/08/1990,2162.800049
03/09/1990,2166.600098
04/09/1990,2148
05/09/1990,2152.199951
06/09/1990,2120.899902
07/09/1990,2122.899902
10/09/1990,2147
11/09/1990,2144.300049
12/09/1990,2142.300049
13/09/1990,2127.100098
14/09/1990,2093.800049
17/09/1990,2094.300049
18/09/1990,2064
19/09/1990,2065.800049
20/09/1990,2016.900024
21/09/1990,2025.5
24/09/1990,1990.300049
25/09/1990,1999.199951
26/09/1990,2000
27/09/1990,2009.099976
28/09/1990,1990.199951
01/10/1990,2030.900024
02/10/1990,2058.5
03/10/1990,2087
04/10/1990,2070.399902
05/10/1990,2143.899902
08/10/1990,2201.600098
09/10/1990,2134.100098
10/10/1990,2121.800049
11/10/1990,2102.199951
12/10/1990,2100.399902
15/10/1990,2101.899902
16/10/1990,2083.600098
17/10/1990,2068
18/10/1990,2082.600098
19/10/1990,2089
22/10/1990,2102
23/10/1990,2127
24/10/1990,2110.5
25/10/1990,2088.699951
26/10/1990,2063.100098
29/10/1990,2062.100098
30/10/1990,2033.900024
31/10/1990,2050.300049
01/11/1990,2028
02/11/1990,2030.699951
05/11/1990,2050.100098
06/11/1990,2069.800049
07/11/1990,2069.800049
08/11/1990,2059.199951
09/11/1990,2040.599976
12/11/1990,2051.899902
13/11/1990,2056
14/11/1990,2046
15/11/1990,2060
16/11/1990,2068
19/11/1990,2095.899902
20/11/1990,2115.199951
21/11/1990,2126.300049
22/11/1990,2127.899902
23/11/1990,2170.5
26/11/1990,2151.899902
27/11/1990,2159.5
28/11/1990,2144.300049
29/11/1990,2135.600098
30/11/1990,2149.399902
03/12/1990,2162.699951
04/12/1990,2146.300049
05/12/1990,2152.600098
06/12/1990,2177.5
07/12/1990,2183.399902
10/12/1990,2182.5
11/12/1990,2165.800049
12/12/1990,2156.899902
13/12/1990,2172.199951
14/12/1990,2168.399902
17/12/1990,2157.899902
18/12/1990,2161.800049
19/12/1990,2178.699951
20/12/1990,2158.800049
21/12/1990,2164.399902
24/12/1990,2156.300049
27/12/1990,2167.800049
28/12/1990,2160.399902
31/12/1990,2143.5
02/01/1991,2128.300049
03/01/1991,2117.800049
04/01/1991,2126.100098
07/01/1991,2113.300049
08/01/1991,2099.899902
09/01/1991,2128.899902
10/01/1991,2108.699951
11/01/1991,2106.100098
14/01/1991,2080.800049
15/01/1991,2070.899902
16/01/1991,2054.800049
17/01/1991,2104.600098
18/01/1991,2102.699951
21/01/1991,2084
22/01/1991,2081.600098
23/01/1991,2080.5
24/01/1991,2099.300049
25/01/1991,2103
28/01/1991,2118
29/01/1991,2113.800049
30/01/1991,2152.600098
31/01/1991,2170.300049
01/02/1991,2165.699951
04/02/1991,2172.399902
05/02/1991,2202
06/02/1991,2194.800049
07/02/1991,2243.699951
08/02/1991,2245.199951
11/02/1991,2279
