date,gold_price
12/30/2022,"1,826.20"
12/29/2022,"1,826.00"
12/28/2022,"1,815.80"
12/27/2022,"1,823.10"
12/26/2022,"1,809.70"
12/23/2022,"1,804.20"
12/22/2022,"1,795.30"
12/21/2022,"1,825.40"
12/20/2022,"1,825.40"
12/19/2022,"1,797.70"
12/16/2022,"1,800.20"
12/15/2022,"1,787.80"
12/14/2022,"1,818.70"
12/13/2022,"1,825.50"
12/12/2022,"1,792.30"
12/09/2022,"1,810.70"
12/08/2022,"1,801.50"
12/07/2022,"1,798.00"
12/06/2022,"1,782.40"
12/05/2022,"1,781.30"
12/02/2022,"1,809.60"
12/01/2022,"1,815.20"
11/30/2022,"1,759.90"
11/29/2022,"1,763.70"
11/28/2022,"1,740.30"
11/25/2022,"1,754.00"
11/24/2022,"1,754.00"
11/23/2022,"1,745.60"
11/22/2022,"1,739.90"
11/21/2022,"1,739.60"
11/18/2022,"1,754.40"
11/17/2022,"1,763.00"
11/16/2022,"1,775.80"
11/15/2022,"1,776.80"
11/14/2022,"1,776.90"
11/11/2022,"1,769.40"
11/10/2022,"1,753.70"
11/09/2022,"1,713.70"
11/08/2022,"1,716.00"
11/07/2022,"1,680.50"
11/04/2022,"1,676.60"
11/03/2022,"1,630.90"
11/02/2022,"1,650.00"
11/01/2022,"1,649.70"
10/31/2022,"1,640.70"
10/28/2022,"1,644.80"
10/27/2022,"1,665.60"
10/26/2022,"1,669.20"
10/25/2022,"1,658.00"
10/24/2022,"1,654.10"
10/21/2022,"1,656.30"
10/20/2022,"1,636.80"
10/19/2022,"1,634.20"
10/18/2022,"1,655.80"
10/17/2022,"1,664.00"
10/14/2022,"1,648.90"
10/13/2022,"1,677.00"
10/12/2022,"1,677.50"
10/11/2022,"1,686.00"
10/10/2022,"1,675.20"
10/07/2022,"1,709.30"
10/06/2022,"1,720.80"
10/05/2022,"1,720.80"
10/04/2022,"1,730.50"
10/03/2022,"1,702.00"
09/30/2022,"1,672.00"
09/29/2022,"1,668.60"
09/28/2022,"1,670.00"
09/27/2022,"1,636.20"
09/26/2022,"1,633.40"
09/23/2022,"1,655.60"
09/22/2022,"1,681.10"
09/21/2022,"1,675.70"
09/20/2022,"1,671.10"
09/19/2022,"1,678.20"
09/16/2022,"1,683.50"
09/15/2022,"1,677.30"
