date,avg_house_price
01/01/1999,72903.17681
01/02/1999,72903.17681
01/03/1999,72903.17681
01/04/1999,75995.05261
01/05/1999,75995.05261
01/06/1999,75995.05261
01/07/1999,80443.0143
01/08/1999,80443.0143
01/09/1999,80443.0143
01/10/1999,82504.26483
01/11/1999,82504.26483
01/12/1999,82504.26483
01/01/2000,84619.7588
01/02/2000,84619.7588
01/03/2000,84619.7588
01/04/2000,89230.45079
01/05/2000,89230.45079
01/06/2000,89230.45079
01/07/2000,90911.99728
01/08/2000,90911.99728
01/09/2000,90911.99728
01/10/2000,93624.16903
01/11/2000,93624.16903
01/12/2000,93624.16903
01/01/2001,93135.97812
01/02/2001,93135.97812
01/03/2001,93135.97812
01/04/2001,96499.07109
01/05/2001,96499.07109
01/06/2001,96499.07109
01/07/2001,99970.65094
01/08/2001,99970.65094
01/09/2001,99970.65094
01/10/2001,97963.64384
01/11/2001,97963.64384
01/12/2001,97963.64384
01/01/2002,97623.26629
01/02/2002,101164.0065
01/03/2002,104704.7467
01/04/2002,106121.0428
01/05/2002,108852.471
01/06/2002,113303.6873
01/07/2002,114214.1634
01/08/2002,116743.2635
01/09/2002,119575.8557
01/10/2002,120486.3318
01/11/2002,121700.2998
01/12/2002,125746.8601
01/01/2003,124836.384
01/02/2003,123521.252
01/03/2003,126151.5161
01/04/2003,129186.4363
01/05/2003,128275.9603
01/06/2003,128579.4523
01/07/2003,130805.0604
01/08/2003,133131.8326
01/09/2003,132727.1765
01/10/2003,135053.9487
01/11/2003,133536.4886
01/12/2003,136166.7528
01/01/2004,136976.0648
01/02/2004,135660.9327
01/03/2004,135964.4248
01/04/2004,142135.4292
01/05/2004,143855.2173
01/06/2004,146384.3174
01/07/2004,149520.4016
01/08/2004,151240.1897
01/09/2004,150936.6977
01/10/2004,152049.5018
01/11/2004,151847.1738
01/12/2004,150734.3697
01/01/2005,150633.2057
01/02/2005,150488.4315
01/03/2005,151723.0387
01/04/2005,153880.3389
01/05/2005,155532.5123
01/06/2005,156767.0554
01/07/2005,158785.7129
01/08/2005,159431.3031
01/09/2005,159183.1158
01/10/2005,158864.53
01/11/2005,159337.332
01/12/2005,160208.9727
01/01/2006,159969.9131
01/02/2006,160231.2181
01/03/2006,161530.5709
01/04/2006,165041.6836
01/05/2006,166605.7664
01/06/2006,168184.132
01/07/2006,170604.4111
01/08/2006,172036.6496
01/09/2006,172738.0135
01/10/2006,173749.7836
01/11/2006,174644.4066
01/12/2006,176819.0361
01/01/2007,176757.9355
01/02/2007,177261.0648
01/03/2007,178636.4297
01/04/2007,182242.6417
01/05/2007,184330.399
01/06/2007,186348.1192
01/07/2007,188691.0297
01/08/2007,189785.659
01/09/2007,190031.91
01/10/2007,189588.8194
01/11/2007,189489.2023
01/12/2007,189193.4909
01/01/2008,185781.6316
01/02/2008,184184.6548
01/03/2008,182844.7577
01/04/2008,183147.8404
01/05/2008,184267.3681
01/06/2008,181830.6502
01/07/2008,179845.201
01/08/2008,176092.3571
01/09/2008,171659.5213
01/10/2008,168177.1013
01/11/2008,163446.9347
01/12/2008,160954.2262
01/01/2009,157233.924
01/02/2009,155417.3852
01/03/2009,154452.3806
01/04/2009,155852.1556
01/05/2009,158004.4662
01/06/2009,159561.0605
01/07/2009,162423.2686
01/08/2009,164025.3201
01/09/2009,165313.7701
01/10/2009,166424.9027
01/11/2009,166986.1487
01/12/2009,168081.6091
01/01/2010,167468.9299
01/02/2010,167887.6822
01/03/2010,167877.9508
01/04/2010,170027.8904
01/05/2010,170845.9251
01/06/2010,171688.537
01/07/2010,173427.1067
01/08/2010,173417.4578
01/09/2010,172972.0443
01/10/2010,171044.7244
01/11/2010,169013.1436
01/12/2010,168702.7214
01/01/2011,167300.2404
01/02/2011,166415.1603
01/03/2011,165648.5379
01/04/2011,168218.06
01/05/2011,167469.7143
01/06/2011,167752.9093
01/07/2011,169865.8121
01/08/2011,169968.016
01/09/2011,169543.5734
01/10/2011,167673.168
01/11/2011,167756.8878
01/12/2011,167047.7706
01/01/2012,165908.4809
01/02/2012,165457.0798
01/03/2012,165947.3274
01/04/2012,167854.0205
01/05/2012,168395.3676
01/06/2012,170049.1636
01/07/2012,170701.1966
01/08/2012,170902.3776
01/09/2012,170295.1292
01/10/2012,169089.5181
01/11/2012,169227.2509
01/12/2012,168842.8434
01/01/2013,167715.5946
01/02/2013,167682.4598
01/03/2013,168681.4684
01/04/2013,170335.3686
01/05/2013,171233.7538
01/06/2013,172654.5105
01/07/2013,174592.2607
01/08/2013,175982.2931
01/09/2013,176097.8275
01/10/2013,175378.3971
01/11/2013,176351.5657
01/12/2013,177970.632
01/01/2014,178182.1947
01/02/2014,178921.4398
01/03/2014,179536.8481
01/04/2014,183531.6143
01/05/2014,185476.4913
01/06/2014,187077.4797
01/07/2014,189709.2488
01/08/2014,191932.1115
01/09/2014,192138.056
01/10/2014,191854.5777
01/11/2014,191209.195
01/12/2014,191669.3105
01/01/2015,190664.9416
01/02/2015,190827.1002
01/03/2015,191537.2634
01/04/2015,193224.7186
01/05/2015,195313.124
01/06/2015,196802.4578
01/07/2015,200141.5615
01/08/2015,201973.3647
01/09/2015,202388.7291
01/10/2015,202664.3387
01/11/2015,204223.2345
01/12/2015,204920.2481
01/01/2016,205464.2926
01/02/2016,205555.4075
01/03/2016,207667.1658
01/04/2016,208443.2286
01/05/2016,210872.4183
01/06/2016,212886.5299
01/07/2016,215126.9772
01/08/2016,215144.9613
01/09/2016,214816.236
01/10/2016,214106.8334
01/11/2016,215113.0566
01/12/2016,215499.8314
01/01/2017,215242.5623
01/02/2017,215697.4753
01/03/2017,215236.3504
01/04/2017,218641.5946
01/05/2017,219953.663
01/06/2017,221833.4783
01/07/2017,224719.137
01/08/2017,225738.1678
01/09/2017,224895.0198
01/10/2017,225092.3259
01/11/2017,224452.6722
01/12/2017,225329.9776
01/01/2018,224543.7559
01/02/2018,225131.191
01/03/2018,223772.1802
01/04/2018,225910.188
01/05/2018,226833.8665
01/06/2018,228355.3098
01/07/2018,231187.016
01/08/2018,231897.7019
01/09/2018,231454.2502
01/10/2018,231211.2302
01/11/2018,230224.3035
01/12/2018,229729.2591
01/01/2019,228314.4927
01/02/2019,227738.4642
01/03/2019,227103.9623
01/04/2019,228749.3498
01/05/2019,229061.1192
01/06/2019,230049.0452
01/07/2019,232618.1464
01/08/2019,233366.1371
01/09/2019,233536.15
01/10/2019,232919.4018
01/11/2019,232096.426
01/12/2019,231792.2947
01/01/2020,231939.909
01/02/2020,230609.0017
01/03/2020,232683.8062
01/04/2020,230317.758
01/05/2020,231507.7098
01/06/2020,234703.2452
01/07/2020,236686.9285
01/08/2020,238997.6916
01/09/2020,241541.4024
01/10/2020,243575.4827
01/11/2020,246064.9811
01/12/2020,247983.412
01/01/2021,249689.5341
01/02/2021,249586.1029
01/03/2021,253505.551
01/04/2021,250209.6713
01/05/2021,251285.4804
01/06/2021,265676.0755
01/07/2021,252960.133
01/08/2021,260429.1793
01/09/2021,269003.0745
01/10/2021,263333.2296
01/11/2021,267369.9581
01/12/2021,268114.7047
01/01/2022,272738.3168
01/02/2022,272454.145
01/03/2022,273786.8245
01/04/2022,276917
01/05/2022,280433
01/06/2022,282777
01/07/2022,288156
01/08/2022,290541
01/09/2022,291716
01/10/2022,291193
01/11/2022,291092
01/12/2022,288744
