date,1_mo_bond
30/12/2022,3.033
29/12/2022,3.058
28/12/2022,3.04
27/12/2022,2.995
26/12/2022,2.995
23/12/2022,3.002
22/12/2022,3.014
21/12/2022,3.194
20/12/2022,3.429
19/12/2022,3.117
16/12/2022,3.124
15/12/2022,3.029
14/12/2022,3.025
13/12/2022,3.13
12/12/2022,2.992
09/12/2022,3.043
08/12/2022,3.053
07/12/2022,3.089
06/12/2022,3.005
05/12/2022,3.037
02/12/2022,3.039
01/12/2022,3.062
30/11/2022,3.044
29/11/2022,2.952
28/11/2022,2.681
25/11/2022,2.636
24/11/2022,2.642
23/11/2022,2.658
22/11/2022,2.709
21/11/2022,2.75
18/11/2022,2.742
17/11/2022,2.721
16/11/2022,2.729
15/11/2022,2.831
14/11/2022,2.663
11/11/2022,2.636
10/11/2022,2.647
09/11/2022,2.616
08/11/2022,2.573
07/11/2022,2.628
04/11/2022,2.681
03/11/2022,2.354
02/11/2022,2.447
01/11/2022,2.533
31/10/2022,2.454
28/10/2022,2.453
27/10/2022,2.472
26/10/2022,2.32
25/10/2022,2.343
24/10/2022,2.263
21/10/2022,2.3
20/10/2022,2.252
19/10/2022,2.292
18/10/2022,2.329
17/10/2022,2.106
14/10/2022,2.208
13/10/2022,2.193
12/10/2022,2.25
11/10/2022,2.234
10/10/2022,2.158
07/10/2022,2.117
06/10/2022,1.871
05/10/2022,2.081
04/10/2022,2.139
03/10/2022,1.984
30/09/2022,1.98
29/09/2022,2.179
28/09/2022,2.081
27/09/2022,2.112
26/09/2022,2.576
23/09/2022,2.056
22/09/2022,2.062
21/09/2022,1.982
20/09/2022,2.065
19/09/2022,2.02
16/09/2022,2.056
15/09/2022,1.944
14/09/2022,1.954
13/09/2022,1.977
12/09/2022,1.914
09/09/2022,1.919
08/09/2022,1.886
07/09/2022,1.87
06/09/2022,1.909
05/09/2022,1.775
02/09/2022,1.781
01/09/2022,1.754
31/08/2022,1.743
30/08/2022,1.692
29/08/2022,1.671
26/08/2022,1.705
25/08/2022,1.696
24/08/2022,1.701
23/08/2022,1.692
22/08/2022,1.583
19/08/2022,1.599
18/08/2022,1.405
