date,10_yr_bond
12/30/2022,3.669
12/29/2022,3.661
12/28/2022,3.655
12/27/2022,3.6675
12/26/2022,3.652
12/25/2022,3.671
12/24/2022,3.671
12/23/2022,3.633
12/22/2022,3.593
12/21/2022,3.574
12/20/2022,3.597
12/19/2022,3.502
12/18/2022,3.3805
12/16/2022,3.33
12/15/2022,3.24
12/14/2022,3.313
12/13/2022,3.297
12/12/2022,3.198
12/09/2022,3.183
12/08/2022,3.096
12/07/2022,3.046
12/06/2022,3.081
12/05/2022,3.101
12/02/2022,3.147
12/01/2022,3.1
11/30/2022,3.163
11/29/2022,3.101
11/28/2022,3.125
11/25/2022,3.117
11/24/2022,3.035
11/23/2022,3.01
11/22/2022,3.129
11/21/2022,3.191
11/18/2022,3.238
11/17/2022,3.197
11/16/2022,3.147
11/15/2022,3.297
11/14/2022,3.349
11/11/2022,3.354
11/10/2022,3.29
11/09/2022,3.448
11/08/2022,3.544
11/07/2022,3.633
11/04/2022,3.551
11/03/2022,3.505
11/02/2022,3.399
11/01/2022,3.457
10/31/2022,3.523
10/28/2022,3.494
10/27/2022,3.407
10/26/2022,3.579
10/25/2022,3.636
10/24/2022,3.744
10/21/2022,4.028
10/20/2022,3.904
10/19/2022,3.871
10/18/2022,3.943
10/17/2022,3.981
10/16/2022,4.417
10/14/2022,4.323
10/13/2022,4.184
10/12/2022,4.413
10/11/2022,4.45
10/10/2022,4.472
10/07/2022,4.238
10/06/2022,4.17
10/05/2022,4.036
10/04/2022,3.856
10/03/2022,3.946
10/02/2022,4.125
09/30/2022,4.096
09/29/2022,4.139
09/28/2022,4.008
09/27/2022,4.501
09/26/2022,4.236
09/25/2022,3.8445
09/24/2022,3.8445
09/23/2022,3.822
09/22/2022,3.489
09/21/2022,3.313
09/20/2022,3.293
09/19/2022,3.1535
09/18/2022,3.1665
09/17/2022,3.157
09/16/2022,3.133
09/15/2022,3.165
09/14/2022,3.137
09/13/2022,3.173
09/12/2022,3.083
09/11/2022,3.13
09/10/2022,3.1225
09/09/2022,3.097
09/08/2022,3.161
09/07/2022,3.031
09/06/2022,3.098
09/05/2022,2.94
09/04/2022,2.914
09/03/2022,2.917
09/02/2022,2.918
09/01/2022,2.882
08/31/2022,2.799
08/30/2022,2.705
08/29/2022,2.6115
08/28/2022,2.6225
08/27/2022,2.633
08/26/2022,2.603
08/25/2022,2.617
08/24/2022,2.698
08/23/2022,2.579
08/22/2022,2.514
08/21/2022,2.4275
08/20/2022,2.426
08/19/2022,2.415
08/18/2022,2.319
08/17/2022,2.289
08/16/2022,2.125
08/15/2022,2.023
08/14/2022,2.117
08/13/2022,2.11
08/12/2022,2.115
08/11/2022,2.059
08/10/2022,1.956
08/09/2022,1.974
08/08/2022,1.952
08/07/2022,2.046
08/06/2022,2.0435
08/05/2022,2.052
08/04/2022,1.889
08/03/2022,1.91
08/02/2022,1.869
08/01/2022,1.809
07/31/2022,1.8715
07/30/2022,1.8685
07/29/2022,1.853
07/28/2022,1.873
07/27/2022,1.957
07/26/2022,1.919
07/25/2022,1.935
07/24/2022,1.941
07/23/2022,1.9345
07/22/2022,1.939
07/21/2022,2.048
07/20/2022,2.144
07/19/2022,2.178
07/18/2022,2.158
07/16/2022,2.1
07/15/2022,2.086
07/14/2022,2.102
07/13/2022,2.062
07/12/2022,2.064
07/11/2022,2.18
07/10/2022,2.2275
07/09/2022,2.2375
07/08/2022,2.234
07/07/2022,2.129
07/06/2022,2.094
07/05/2022,2.051
07/04/2022,2.199
07/03/2022,2.094
07/02/2022,2.109
07/01/2022,2.083
06/30/2022,2.24
06/29/2022,2.382
06/28/2022,2.467
06/27/2022,2.393
06/26/2022,2.3125
06/25/2022,2.313
06/24/2022,2.304
06/23/2022,2.312
06/22/2022,2.495
06/21/2022,2.649
06/20/2022,2.602
06/19/2022,2.508
06/18/2022,2.5045
06/17/2022,2.496
06/16/2022,2.517
06/15/2022,2.466
06/14/2022,2.595
06/13/2022,2.52
06/12/2022,2.4395
06/11/2022,2.4415
06/10/2022,2.443
06/09/2022,2.326
06/08/2022,2.248
06/07/2022,2.214
06/06/2022,2.245
06/05/2022,2.1535
06/04/2022,2.1535
06/03/2022,2.1655
06/02/2022,2.165
06/01/2022,2.152
05/31/2022,2.1
05/30/2022,1.989
05/28/2022,1.9245
05/27/2022,1.916
05/26/2022,1.968
05/25/2022,1.91
05/24/2022,1.889
05/23/2022,1.971
05/22/2022,1.8825
05/21/2022,1.8775
05/20/2022,1.89
05/19/2022,1.869
05/18/2022,1.867
05/17/2022,1.883
05/16/2022,1.731
05/15/2022,1.7505
05/14/2022,1.753
05/13/2022,1.743
05/12/2022,1.67
05/11/2022,1.831
05/10/2022,1.848
05/09/2022,1.959
05/08/2022,2.0145
05/07/2022,2.016
05/06/2022,1.995
05/05/2022,1.966
05/04/2022,1.968
05/03/2022,1.959
05/02/2022,1.905
05/01/2022,1.9195
04/30/2022,1.9175
04/29/2022,1.909
04/28/2022,1.878
04/27/2022,1.815
04/26/2022,1.799
04/25/2022,1.837
04/24/2022,1.9705
04/23/2022,1.9775
04/22/2022,1.966
04/21/2022,2.015
04/20/2022,1.916
04/19/2022,1.968
04/18/2022,1.89
04/17/2022,1.8895
04/16/2022,1.8985
04/15/2022,1.896
04/14/2022,1.89
04/13/2022,1.805
04/12/2022,1.804
04/11/2022,1.848
04/10/2022,1.7635
04/09/2022,1.764
04/08/2022,1.753
04/07/2022,1.729
04/06/2022,1.704
04/05/2022,1.655
04/04/2022,1.546
04/03/2022,1.6215
04/01/2022,1.611
03/31/2022,1.607
03/30/2022,1.666
03/29/2022,1.652
03/28/2022,1.618
03/27/2022,1.6885
03/26/2022,1.701
03/25/2022,1.699
03/24/2022,1.648
03/23/2022,1.627
03/22/2022,1.71
03/21/2022,1.638
03/20/2022,1.502
03/19/2022,1.5105
03/18/2022,1.497
03/17/2022,1.567
03/16/2022,1.629
03/15/2022,1.578
03/14/2022,1.598
03/13/2022,1.513
03/12/2022,1.4975
03/11/2022,1.494
03/10/2022,1.523
03/09/2022,1.522
03/08/2022,1.447
03/07/2022,1.303
03/05/2022,1.2325
03/04/2022,1.212
03/03/2022,1.299
03/02/2022,1.264
03/01/2022,1.109
02/28/2022,1.415
02/27/2022,1.487
02/26/2022,1.4925
02/25/2022,1.459
02/24/2022,1.446
02/23/2022,1.476
02/22/2022,1.474
02/21/2022,1.405
02/20/2022,1.387
02/19/2022,1.3785
02/18/2022,1.381
02/17/2022,1.458
02/16/2022,1.525
02/15/2022,1.582
02/14/2022,1.586
02/11/2022,1.548
02/10/2022,1.533
02/09/2022,1.432
02/08/2022,1.491
02/07/2022,1.414
02/06/2022,1.418
02/05/2022,1.4125
02/04/2022,1.415
02/03/2022,1.377
02/02/2022,1.255
02/01/2022,1.3
01/31/2022,1.309
01/30/2022,1.245
01/29/2022,1.243
01/28/2022,1.244
01/27/2022,1.229
01/26/2022,1.2
01/25/2022,1.168
01/24/2022,1.132
01/23/2022,1.1705
01/22/2022,1.167
01/21/2022,1.17
01/20/2022,1.227
01/19/2022,1.257
01/18/2022,1.219
01/17/2022,1.191
01/16/2022,1.146
01/15/2022,1.161
01/14/2022,1.151
01/13/2022,1.106
01/12/2022,1.139
01/11/2022,1.172
01/10/2022,1.19
01/09/2022,1.178
01/08/2022,1.174
01/07/2022,1.18
01/06/2022,1.158
01/05/2022,1.088
01/04/2022,1.088
01/03/2022,0.972
01/02/2022,0.973
01/01/2022,0.9695
12/31/2021,0.972
12/30/2021,0.977
12/29/2021,1.014
12/27/2021,0.9225
12/26/2021,0.929
12/25/2021,0.9215
12/24/2021,0.922
12/23/2021,0.923
12/22/2021,0.888
12/21/2021,0.874
12/20/2021,0.775
12/19/2021,0.7695
12/18/2021,0.7635
12/17/2021,0.758
12/16/2021,0.757
12/15/2021,0.738
12/14/2021,0.724
12/13/2021,0.695
12/11/2021,0.7345
12/10/2021,0.741
12/09/2021,0.756
12/08/2021,0.774
12/07/2021,0.734
12/06/2021,0.733
12/05/2021,0.768
12/03/2021,0.747
12/02/2021,0.815
12/01/2021,0.821
11/30/2021,0.811
11/29/2021,0.875
11/28/2021,0.8135
11/27/2021,0.8285
11/26/2021,0.827
11/25/2021,0.967
11/24/2021,0.996
11/23/2021,0.996
11/22/2021,0.933
11/21/2021,0.876
11/20/2021,0.8795
11/19/2021,0.88
11/18/2021,0.923
11/17/2021,0.964
11/16/2021,0.993
11/15/2021,0.959
11/14/2021,0.915
11/13/2021,0.922
11/12/2021,0.913
11/11/2021,0.922
11/10/2021,0.926
11/09/2021,0.823
11/08/2021,0.857
11/07/2021,0.8385
11/06/2021,0.848
11/05/2021,0.847
11/04/2021,0.943
11/03/2021,1.073
11/02/2021,1.037
11/01/2021,1.063
10/31/2021,1.048
10/30/2021,1.0345
10/29/2021,1.032
10/28/2021,1.008
10/27/2021,0.98
10/26/2021,1.109
10/25/2021,1.141
10/24/2021,1.168
10/22/2021,1.154
10/21/2021,1.201
10/20/2021,1.148
10/19/2021,1.165
10/18/2021,1.136
10/17/2021,1.0945
10/16/2021,1.103
10/15/2021,1.107
10/14/2021,1.042
10/13/2021,1.092
10/12/2021,1.148
10/11/2021,1.191
10/10/2021,1.163
10/09/2021,1.1625
10/08/2021,1.16
10/07/2021,1.08
10/06/2021,1.071
10/05/2021,1.087
10/04/2021,1.008
10/03/2021,1.0205
10/01/2021,1.003
09/30/2021,1.022
09/29/2021,0.993
09/28/2021,0.996
09/27/2021,0.958
09/24/2021,0.922
09/23/2021,0.912
09/22/2021,0.799
09/21/2021,0.809
09/20/2021,0.795
09/17/2021,0.848
09/16/2021,0.82
09/15/2021,0.778
09/14/2021,0.739
09/13/2021,0.748
09/11/2021,0.7575
09/10/2021,0.76
09/09/2021,0.738
09/08/2021,0.743
09/07/2021,0.737
09/06/2021,0.696
09/03/2021,0.717
09/02/2021,0.682
09/01/2021,0.696
08/31/2021,0.622
08/30/2021,0.5775
08/29/2021,0.5795
08/28/2021,0.5765
