date,2_yr_bond
12/30/2022,3.707
12/29/2022,3.61
12/28/2022,3.585
12/26/2022,3.6655
12/25/2022,3.6655
12/24/2022,3.6655
12/23/2022,3.637
12/22/2022,3.617
12/21/2022,3.669
12/20/2022,3.677
12/19/2022,3.662
12/18/2022,3.502
12/17/2022,3.464
12/16/2022,3.47
12/15/2022,3.385
12/14/2022,3.438
12/13/2022,3.509
12/12/2022,3.469
12/09/2022,3.407
12/08/2022,3.319
12/07/2022,3.243
12/06/2022,3.256
12/05/2022,3.309
12/02/2022,3.312
12/01/2022,3.238
11/30/2022,3.28
11/29/2022,3.231
11/28/2022,3.282
11/27/2022,3.2795
11/26/2022,3.275
11/25/2022,3.264
11/24/2022,3.195
11/23/2022,3.114
11/22/2022,3.125
11/21/2022,3.214
11/18/2022,3.183
11/17/2022,3.098
11/16/2022,2.99
11/15/2022,3.14
11/14/2022,3.113
11/11/2022,3.127
11/10/2022,3.085
11/09/2022,3.218
11/08/2022,3.231
11/07/2022,3.206
11/04/2022,3.057
11/03/2022,3.076
11/02/2022,3.02
11/01/2022,3.16
10/31/2022,3.274
10/28/2022,3.227
10/27/2022,3.084
10/26/2022,3.275
10/25/2022,3.324
10/24/2022,3.409
10/21/2022,3.69
10/20/2022,3.56
10/19/2022,3.465
10/18/2022,3.547
10/17/2022,3.559
10/14/2022,3.877
10/13/2022,3.789
10/12/2022,4.01
10/11/2022,4.181
10/10/2022,4.353
10/07/2022,4.064
10/06/2022,4.105
10/05/2022,3.992
10/04/2022,3.886
10/03/2022,4.002
09/30/2022,4.301
09/29/2022,4.349
09/28/2022,4.244
09/27/2022,4.717
09/26/2022,4.492
09/23/2022,3.912
09/22/2022,3.499
09/21/2022,3.424
09/20/2022,3.292
09/19/2022,3.13
09/16/2022,3.096
09/15/2022,3.106
09/14/2022,3.118
09/13/2022,3.115
09/12/2022,3.033
09/09/2022,3.028
09/08/2022,3.077
09/07/2022,3.001
09/06/2022,3.176
09/05/2022,3.203
09/02/2022,3.113
09/01/2022,3.088
08/31/2022,3.008
08/30/2022,2.895
08/29/2022,2.815
08/28/2022,2.82
08/27/2022,2.82
08/26/2022,2.785
08/25/2022,2.783
08/24/2022,2.947
08/23/2022,2.712
08/22/2022,2.603
08/19/2022,2.535
08/18/2022,2.461
08/17/2022,2.402
08/16/2022,2.16
08/15/2022,2.035
08/12/2022,2.07
08/11/2022,2.014
08/10/2022,1.925
08/09/2022,1.924
08/08/2022,1.899
08/05/2022,1.965
08/04/2022,1.867
08/03/2022,1.847
08/02/2022,1.763
08/01/2022,1.684
07/31/2022,1.7085
07/29/2022,1.714
07/28/2022,1.707
07/27/2022,1.868
07/26/2022,1.822
07/25/2022,1.834
07/22/2022,1.841
07/21/2022,1.996
07/20/2022,2.1
07/19/2022,2.071
07/18/2022,1.976
07/16/2022,1.9045
07/15/2022,1.916
07/14/2022,1.946
07/13/2022,1.818
07/12/2022,1.807
07/11/2022,1.88
07/08/2022,1.92
07/07/2022,1.826
07/06/2022,1.756
07/05/2022,1.687
07/04/2022,1.804
07/01/2022,1.689
06/30/2022,1.878
06/29/2022,2.056
06/28/2022,2.121
06/27/2022,2.021
06/24/2022,1.933
06/23/2022,1.933
06/22/2022,2.127
06/21/2022,2.312
06/20/2022,2.305
06/17/2022,2.199
06/16/2022,2.141
06/15/2022,1.959
06/14/2022,2.145
06/13/2022,2.131
06/11/2022,2.048
06/10/2022,2.062
06/09/2022,1.845
06/08/2022,1.775
06/07/2022,1.743
06/06/2022,1.765
06/03/2022,1.6565
06/02/2022,1.656
06/01/2022,1.668
05/31/2022,1.578
05/30/2022,1.487
05/28/2022,1.431
05/27/2022,1.429
05/26/2022,1.452
05/25/2022,1.437
05/24/2022,1.453
05/23/2022,1.569
05/21/2022,1.498
05/20/2022,1.506
05/19/2022,1.511
05/18/2022,1.462
05/17/2022,1.439
05/16/2022,1.233
05/13/2022,1.244
05/12/2022,1.186
05/11/2022,1.296
05/10/2022,1.337
05/09/2022,1.38
05/07/2022,1.496
05/06/2022,1.513
05/05/2022,1.561
05/04/2022,1.647
05/03/2022,1.647
05/02/2022,1.58
04/29/2022,1.608
04/28/2022,1.543
04/27/2022,1.494
04/26/2022,1.501
04/25/2022,1.566
04/22/2022,1.719
04/21/2022,1.785
04/20/2022,1.57
04/19/2022,1.59
04/14/2022,1.569
04/13/2022,1.501
04/12/2022,1.513
04/11/2022,1.557
04/09/2022,1.4895
04/08/2022,1.495
04/07/2022,1.464
04/06/2022,1.465
04/05/2022,1.457
04/04/2022,1.367
04/01/2022,1.382
03/31/2022,1.359
03/30/2022,1.381
03/29/2022,1.373
03/28/2022,1.361
03/26/2022,1.4135
03/25/2022,1.411
03/24/2022,1.36
03/23/2022,1.357
03/22/2022,1.415
03/21/2022,1.325
03/18/2022,1.208
03/17/2022,1.306
03/16/2022,1.398
03/15/2022,1.368
03/14/2022,1.392
03/11/2022,1.327
03/10/2022,1.356
03/09/2022,1.414
03/08/2022,1.337
03/07/2022,1.171
03/06/2022,1.051
03/04/2022,1.06
03/03/2022,1.136
03/02/2022,1.064
03/01/2022,0.803
02/28/2022,1.053
02/26/2022,1.196
02/25/2022,1.205
02/24/2022,1.249
02/23/2022,1.307
02/22/2022,1.343
02/21/2022,1.287
02/20/2022,1.273
02/18/2022,1.27
02/17/2022,1.331
02/16/2022,1.414
02/15/2022,1.543
02/14/2022,1.518
02/11/2022,1.421
02/10/2022,1.352
02/09/2022,1.29
02/08/2022,1.332
02/07/2022,1.278
02/04/2022,1.266
02/03/2022,1.156
02/02/2022,1.041
02/01/2022,1.063
01/31/2022,1.044
01/28/2022,0.968
01/27/2022,0.958
01/26/2022,0.921
01/25/2022,0.903
01/24/2022,0.881
01/21/2022,0.877
01/20/2022,0.904
01/19/2022,0.915
01/18/2022,0.868
01/17/2022,0.845
01/14/2022,0.797
01/13/2022,0.763
01/12/2022,0.806
01/11/2022,0.84
01/10/2022,0.842
01/07/2022,0.835
01/06/2022,0.816
01/05/2022,0.757
01/04/2022,0.766
01/03/2022,0.684
01/01/2022,0.668
12/31/2021,0.679
12/30/2021,0.686
12/29/2021,0.714
12/27/2021,0.6445
12/24/2021,0.674
12/23/2021,0.664
12/22/2021,0.653
12/21/2021,0.622
12/20/2021,0.545
12/17/2021,0.52
12/16/2021,0.506
12/15/2021,0.488
12/14/2021,0.441
12/13/2021,0.395
12/10/2021,0.424
12/09/2021,0.435
12/08/2021,0.461
12/07/2021,0.464
12/06/2021,0.464
12/03/2021,0.475
12/02/2021,0.531
12/01/2021,0.529
11/30/2021,0.479
11/29/2021,0.492
