date,usd
15/03/2024,1.274583578
14/03/2024,1.280212998
13/03/2024,1.279590607
12/03/2024,1.281980634
11/03/2024,1.285512328
08/03/2024,1.281558394
07/03/2024,1.273544669
06/03/2024,1.270486593
05/03/2024,1.26919663
04/03/2024,1.266031027
01/03/2024,1.262546539
29/02/2024,1.266303658
28/02/2024,1.268166423
27/02/2024,1.268455982
26/02/2024,1.267266512
23/02/2024,1.266367793
22/02/2024,1.263807058
21/02/2024,1.26273787
20/02/2024,1.258764148
19/02/2024,1.261113644
16/02/2024,1.259921908
15/02/2024,1.25683403
14/02/2024,1.25906527
13/02/2024,1.262753844
12/02/2024,1.263727188
09/02/2024,1.262052536
08/02/2024,1.26273787
07/02/2024,1.260652542
06/02/2024,1.253446937
05/02/2024,1.262195945
02/02/2024,1.274729848
01/02/2024,1.267844915
31/01/2024,1.269551158
30/01/2024,1.271326423
29/01/2024,1.269760728
26/01/2024,1.270825744
25/01/2024,1.271876335
24/01/2024,1.26919663
23/01/2024,1.270696402
22/01/2024,1.269986391
19/01/2024,1.270987153
18/01/2024,1.267684221
17/01/2024,1.26385498
16/01/2024,1.271617413
15/01/2024,1.273658276
12/01/2024,1.277775645
11/01/2024,1.274518609
10/01/2024,1.271294236
09/01/2024,1.274518609
08/01/2024,1.27177918
05/01/2024,1.268407822
04/01/2024,1.267427206
03/01/2024,1.262307405
02/01/2024,1.272880077
01/01/2024,1.272999883
29/12/2023,1.273398638
28/12/2023,1.280081987
27/12/2023,1.272718072
26/12/2023,1.270486593
25/12/2023,1.267700315
22/12/2023,1.268499494
21/12/2023,1.264126658
20/12/2023,1.273268938
19/12/2023,1.265182137
18/12/2023,1.267234325
15/12/2023,1.277139187
14/12/2023,1.262291551
13/12/2023,1.257071018
12/12/2023,1.255461216
11/12/2023,1.255477071
08/12/2023,1.258954406
07/12/2023,1.255871177
06/12/2023,1.259445786
05/12/2023,1.263407946
04/12/2023,1.271310329
01/12/2023,1.263168573
30/11/2023,1.26963973
29/11/2023,1.271229506
28/11/2023,1.263439775
27/11/2023,1.260033011
24/11/2023,1.253352642
23/11/2023,1.249000788
22/11/2023,1.25442183
21/11/2023,1.250906944
20/11/2023,1.245454073
17/11/2023,1.241495728
16/11/2023,1.242236018
15/11/2023,1.249453306
14/11/2023,1.228063703
13/11/2023,1.222822785
10/11/2023,1.221702337
09/11/2023,1.228501201
08/11/2023,1.229180813
07/11/2023,1.234552622
06/11/2023,1.237378716
03/11/2023,1.219185114
02/11/2023,1.218219757
01/11/2023,1.215214491
31/10/2023,1.216574669
30/10/2023,1.211372375
27/10/2023,1.21371007
26/10/2023,1.210345984
25/10/2023,1.216189981
24/10/2023,1.225024819
23/10/2023,1.216397047
20/10/2023,1.213724852
19/10/2023,1.214343786
18/10/2023,1.217878461
17/10/2023,1.221150398
16/10/2023,1.215376854
13/10/2023,1.218323588
12/10/2023,1.231633306
11/10/2023,1.229135513
10/10/2023,1.22503984
09/10/2023,1.222090483
06/10/2023,1.218769073
05/10/2023,1.213739514
04/10/2023,1.207846165
03/10/2023,1.209116817
02/10/2023,1.219303966
29/09/2023,1.220479608
28/09/2023,1.213533282
27/09/2023,1.214683056
26/09/2023,1.221314311
25/09/2023,1.22418499
22/09/2023,1.229422569
21/09/2023,1.232893586
20/09/2023,1.239356995
19/09/2023,1.23837471
18/09/2023,1.239756584
15/09/2023,1.24018693
14/09/2023,1.248953938
13/09/2023,1.249172449
12/09/2023,1.250875592
11/09/2023,1.248999238
08/09/2023,1.247505069
07/09/2023,1.249875069
06/09/2023,1.257055283
05/09/2023,1.262307405
04/09/2023,1.259144545
01/09/2023,1.267282605
31/08/2023,1.271179438
30/08/2023,1.263679385
29/08/2023,1.261113644
28/08/2023,1.258970141
25/08/2023,1.259287238
24/08/2023,1.272054195
23/08/2023,1.27315557
22/08/2023,1.276079893
21/08/2023,1.274193764
18/08/2023,1.275022268
17/08/2023,1.272815108
16/08/2023,1.270131588
15/08/2023,1.268520355
14/08/2023,1.269502759
11/08/2023,1.267009497
10/08/2023,1.272005677
09/08/2023,1.274161339
08/08/2023,1.278200269
