date,wage_growth
01/01/2001,3.6
01/02/2001,3.7
01/03/2001,4.5
01/04/2001,5.3
01/05/2001,4.9
01/06/2001,4.9
01/07/2001,5.3
01/08/2001,5.6
01/09/2001,4.8
01/10/2001,4.8
01/11/2001,4.8
01/12/2001,4.5
01/01/2002,4.5
01/02/2002,5.2
01/03/2002,4.9
01/04/2002,4.1
01/05/2002,4.1
01/06/2002,4.5
01/07/2002,4
01/08/2002,3.1
01/09/2002,3.4
01/10/2002,3.2
01/11/2002,3
01/12/2002,2.9
01/01/2003,3.4
01/02/2003,2.9
01/03/2003,2.8
01/04/2003,3.1
01/05/2003,3.2
01/06/2003,2.9
01/07/2003,3
01/08/2003,3.6
01/09/2003,3.6
01/10/2003,3.7
01/11/2003,3.8
01/12/2003,4.3
01/01/2004,3.4
01/02/2004,3.2
01/03/2004,3.4
01/04/2004,3.5
01/05/2004,3.6
01/06/2004,3.6
01/07/2004,3.8
01/08/2004,3.9
01/09/2004,3.7
01/10/2004,3.9
01/11/2004,3.7
01/12/2004,4.1
01/01/2005,4.1
01/02/2005,4.2
01/03/2005,4.5
01/04/2005,4.2
01/05/2005,4.2
01/06/2005,4.2
01/07/2005,4.4
01/08/2005,4.4
01/09/2005,4.6
01/10/2005,4.2
01/11/2005,4.3
01/12/2005,3.7
01/01/2006,4.1
01/02/2006,4.3
01/03/2006,3.8
01/04/2006,3.8
01/05/2006,4
01/06/2006,4.2
01/07/2006,3.6
01/08/2006,3.4
01/09/2006,3.5
01/10/2006,4
01/11/2006,4
01/12/2006,4.1
01/01/2007,3.7
01/02/2007,3.9
01/03/2007,4.2
01/04/2007,4
01/05/2007,4.2
01/06/2007,4.2
01/07/2007,4.6
01/08/2007,4.8
01/09/2007,4.5
01/10/2007,3.9
01/11/2007,4.2
01/12/2007,4
01/01/2008,4.1
01/02/2008,4.2
01/03/2008,4.2
01/04/2008,4.6
01/05/2008,3.7
01/06/2008,3.5
01/07/2008,3.4
01/08/2008,3.2
01/09/2008,3.3
01/10/2008,3.6
01/11/2008,3.2
01/12/2008,3.2
01/01/2009,2.9
01/02/2009,2.6
01/03/2009,2.1
01/04/2009,1.9
01/05/2009,2.3
01/06/2009,2
01/07/2009,1.4
01/08/2009,1.3
01/09/2009,1.3
01/10/2009,1
01/11/2009,1
01/12/2009,1.3
01/01/2010,1.8
01/02/2010,1.5
01/03/2010,2
01/04/2010,1.4
01/05/2010,1.2
01/06/2010,1.4
01/07/2010,2.2
01/08/2010,2.3
01/09/2010,2.2
01/10/2010,2.2
01/11/2010,2.4
01/12/2010,2
01/01/2011,2.2
01/02/2011,2.1
01/03/2011,1.7
01/04/2011,2.1
01/05/2011,2.3
01/06/2011,2
01/07/2011,1.6
01/08/2011,1.5
01/09/2011,1.7
01/10/2011,1.9
01/11/2011,1.8
01/12/2011,1.9
01/01/2012,1
01/02/2012,1.6
01/03/2012,1.9
01/04/2012,1.7
01/05/2012,1.7
01/06/2012,2
01/07/2012,1.9
01/08/2012,2.1
01/09/2012,1.5
01/10/2012,1.2
01/11/2012,1.3
01/12/2012,1.2
01/01/2013,1
01/02/2013,0.7
01/03/2013,0.7
01/04/2013,1.2
01/05/2013,1
01/06/2013,0.8
01/07/2013,0.9
01/08/2013,0.5
01/09/2013,0.7
01/10/2013,0.9
01/11/2013,0.5
01/12/2013,1.1
01/01/2014,1.6
01/02/2014,1.1
01/03/2014,0.8
01/04/2014,0.4
01/05/2014,0.5
01/06/2014,0.7
01/07/2014,0.6
01/08/2014,1
01/09/2014,1.7
01/10/2014,1.8
01/11/2014,1.5
01/12/2014,1.5
01/01/2015,1.6
01/02/2015,2.3
01/03/2015,2.8
01/04/2015,2.7
01/05/2015,2.7
01/06/2015,2.7
01/07/2015,2.9
01/08/2015,2.5
01/09/2015,1.8
01/10/2015,1.6
01/11/2015,2.1
01/12/2015,2
01/01/2016,2.3
01/02/2016,2.4
01/03/2016,2.2
01/04/2016,2.5
01/05/2016,2.1
01/06/2016,2.3
01/07/2016,2.1
01/08/2016,2.3
01/09/2016,2.6
01/10/2016,2.5
01/11/2016,2.7
01/12/2016,2.3
01/01/2017,1.9
01/02/2017,1.7
01/03/2017,1.8
01/04/2017,1.8
01/05/2017,2.3
01/06/2017,2.1
01/07/2017,2.1
01/08/2017,2.3
01/09/2017,2.3
01/10/2017,2.4
01/11/2017,2.3
01/12/2017,2.7
01/01/2018,2.7
01/02/2018,2.9
01/03/2018,3.1
01/04/2018,2.6
01/05/2018,2.7
01/06/2018,2.8
01/07/2018,3.2
01/08/2018,3.3
01/09/2018,3.1
01/10/2018,3.5
01/11/2018,3.4
01/12/2018,3.3
01/01/2019,3.7
01/02/2019,3.2
01/03/2019,3.2
01/04/2019,3.9
01/05/2019,3.8
01/06/2019,4
01/07/2019,3.8
01/08/2019,3.6
01/09/2019,3.6
01/10/2019,3.2
01/11/2019,3.2
01/12/2019,3.2
01/01/2020,2.8
01/02/2020,2.9
01/03/2020,2.4
01/04/2020,-0.1
01/05/2020,-0.2
01/06/2020,-0.2
01/07/2020,1
01/08/2020,1.9
01/09/2020,2.9
01/10/2020,3.6
01/11/2020,4.2
01/12/2020,4.4
01/01/2021,4.3
01/02/2021,4.5
01/03/2021,5
01/04/2021,7.5
01/05/2021,7.4
01/06/2021,7.1
01/07/2021,5.9
01/08/2021,5
01/09/2021,4.1
01/10/2021,3.8
01/11/2021,3.5
01/12/2021,3.7
01/01/2022,4.3
01/02/2022,4.2
01/03/2022,4.3
01/04/2022,4
01/05/2022,5
01/06/2022,5.1
01/07/2022,5.4
01/08/2022,5.7
01/09/2022,6
01/10/2022,6.6
01/11/2022,6.9
01/12/2022,6.6
