FSR,MPR_IR,MPR,IR
06/12/2023,01/02/2024,01/02/2024,01/08/2019
12/07/2023,02/11/2023,02/11/2023,02/05/2019
13/12/2022,03/08/2023,03/08/2023,07/02/2019
05/07/2022,11/05/2023,11/05/2023,01/11/2018
13/12/2021,02/02/2023,02/02/2023,02/08/2018
13/07/2021,03/11/2022,03/11/2022,10/05/2018
11/12/2020,04/08/2022,04/08/2022,08/02/2018
06/08/2020,05/05/2022,05/05/2022,02/11/2017
07/05/2020,03/02/2022,03/02/2022,03/08/2017
16/12/2019,04/11/2021,04/11/2021,11/05/2017
11/07/2019,05/08/2021,05/08/2021,02/02/2017
28/11/2018,06/05/2021,06/05/2021,03/11/2016
27/06/2018,04/02/2021,04/02/2021,04/08/2016
28/11/2017,05/11/2020,05/11/2020,12/05/2016
27/06/2017,06/08/2020,06/08/2020,04/02/2016
30/11/2016,07/05/2020,07/05/2020,05/11/2015
05/07/2016,30/01/2020,30/01/2020,06/08/2015
01/12/2015,07/11/2019,07/11/2019,13/05/2015
01/07/2015,01/08/2019,,12/02/2015
16/12/2014,02/05/2019,,12/11/2014
26/06/2014,07/02/2019,,13/08/2014
28/11/2013,01/11/2018,,14/05/2014
26/06/2013,02/08/2018,,12/02/2014
29/11/2012,10/05/2018,,13/11/2013
29/06/2012,08/02/2018,,07/08/2013
01/12/2011,02/11/2017,,15/05/2013
24/06/2011,03/08/2017,,13/02/2013
17/12/2010,11/05/2017,,14/11/2012
25/06/2010,02/02/2017,,08/08/2012
18/12/2009,03/11/2016,,16/05/2012
26/06/2009,04/08/2016,,15/02/2012
28/10/2008,12/05/2016,,16/11/2011
01/05/2008,04/02/2016,,10/08/2011
25/10/2007,05/11/2015,,11/05/2011
26/04/2007,06/08/2015,,16/02/2011
12/07/2006,13/05/2015,,10/11/2010
13/12/2005,12/02/2015,,11/08/2010
22/06/2005,12/11/2014,,12/05/2010
13/12/2004,13/08/2014,,10/02/2010
28/06/2004,14/05/2014,,11/11/2009
11/12/2003,12/02/2014,,12/08/2009
26/06/2003,13/11/2013,,13/05/2009
12/12/2002,07/08/2013,,11/02/2009
27/06/2002,15/05/2013,,12/11/2008
13/12/2001,13/02/2013,,13/08/2008
28/06/2001,14/11/2012,,14/05/2008
14/12/2000,08/08/2012,,13/02/2008
29/06/2000,16/05/2012,,14/11/2007
26/11/1999,15/02/2012,,08/08/2007
18/06/1999,16/11/2011,,16/05/2007
16/11/1998,10/08/2011,,14/02/2007
18/05/1998,11/05/2011,,15/11/2006
16/10/1997,16/02/2011,,09/08/2006
03/03/1997,10/11/2010,,10/05/2006
31/10/1996,11/08/2010,,15/02/2006
,12/05/2010,,16/11/2005
,10/02/2010,,10/08/2005
,11/11/2009,,11/05/2005
,12/08/2009,,16/02/2005
,13/05/2009,,10/11/2004
,11/02/2009,,11/08/2004
,12/11/2008,,12/05/2004
,13/08/2008,,11/02/2004
,14/05/2008,,12/11/2003
,13/02/2008,,13/08/2003
,14/11/2007,,15/05/2003
,08/08/2007,,12/02/2003
,16/05/2007,,13/11/2002
,14/02/2007,,07/08/2002
,15/11/2006,,15/05/2002
,09/08/2006,,13/02/2002
,10/05/2006,,14/11/2001
,15/02/2006,,08/08/2001
,16/11/2005,,16/05/2001
,10/08/2005,,14/02/2001
,11/05/2005,,16/11/2000
,16/02/2005,,09/08/2000
,10/11/2004,,10/05/2000
,11/08/2004,,17/02/2000
,12/05/2004,,10/11/1999
,11/02/2004,,11/08/1999
,12/11/2003,,12/05/1999
,13/08/2003,,10/02/1999
,15/05/2003,,11/11/1998
,12/02/2003,,13/08/1998
,13/11/2002,,13/05/1998
,07/08/2002,,11/02/1998
,15/05/2002,,12/11/1997
,13/02/2002,,13/08/1997
,14/11/2001,,13/05/1997
,08/08/2001,,12/02/1997
,16/05/2001,,01/11/1996
,14/02/2001,,01/08/1996
,16/11/2000,,01/05/1996
,09/08/2000,,01/02/1996
,10/05/2000,,01/11/1995
,17/02/2000,,01/08/1995
,10/11/1999,,01/05/1995
,11/08/1999,,01/02/1995
,12/05/1999,,01/11/1994
,10/02/1999,,01/08/1994
,11/11/1998,,01/05/1994
,13/08/1998,,01/02/1994
,13/05/1998,,01/11/1993
,11/02/1998,,01/08/1993
,12/11/1997,,01/05/1993
,13/08/1997,,01/02/1993
,13/05/1997,,
,12/02/1997,,
,01/11/1996,,
,01/08/1996,,
,01/05/1996,,
,01/02/1996,,
,01/11/1995,,
,01/08/1995,,
,01/05/1995,,
,01/02/1995,,
,01/11/1994,,
,01/08/1994,,
,01/05/1994,,
,01/02/1994,,
,01/11/1993,,
,01/08/1993,,
,01/05/1993,,
,01/02/1993,,
