date,reference,country,title,author,is_gov,word_count,body,central_bank,year,language,vader_polarity,lm_polarity,finbert_polarity,boe_speech,fed_speech,fsr,mpr,ftse_250,base_rate,brent_price,cpi,euro,ftse_100,gdp_million,gold_price,avg_house_price,1_mo_bond,10_yr_bond,2_yr_bond,unemployment,usd,wage_growth
1999-01-04,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.213270141169335,-0.0070718974,False,True,False,False,4851.0,,11.11,1.6,,5879.399902,255773,289,72903.17681,6.023,4.287,4.899,6.2,1.6585,
1999-01-05,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.213270141169335,-0.0070718974,False,False,False,False,4870.200195,,11.11,1.6,,5958.200195,255773,289,72903.17681,6.022,4.33,4.895,6.2,1.6542,
1999-01-06,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.213270141169335,-0.0070718974,False,False,False,False,4944.399902,,11.11,1.6,,6148.799805,255773,290,72903.17681,6.022,4.319,4.917,6.2,1.6549,
1999-01-07,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.213270141169335,-0.0070718974,False,False,False,False,4946.700195,6.0,11.11,1.6,,6101.200195,255773,293,72903.17681,6.022,4.277,4.941,6.2,1.652,
1999-01-08,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.213270141169335,-0.0070718974,False,False,False,False,4976.399902,6.0,11.11,1.6,,6147.200195,255773,293,72903.17681,6.019,4.252,4.81,6.2,1.6423,
1999-01-11,r981215a_BOE,United Kingdom,Alice in Euroland,Buiter,False,4574,BOE,Bank of England,1998,en,0.9998,-0.213270141169335,-0.0070718974,False,True,False,False,4982.0,6.0,11.11,1.6,,6085.0,255773,295,72903.17681,6.03,4.298,4.79,6.2,1.6297,
1999-01-12,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.528455280256461,-0.7485165,True,False,False,False,4977.100098,6.0,11.11,1.6,,6033.600098,255773,290,72903.17681,6.029,4.357,4.775,6.2,1.632,
1999-01-13,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.528455280256461,-0.7485165,False,False,False,False,4874.399902,6.0,11.11,1.6,,5850.100098,255773,288,72903.17681,5.836,4.277,4.797,6.2,1.649,
1999-01-14,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.528455280256461,-0.7485165,False,False,False,False,4872.799805,6.0,11.11,1.6,,5820.200195,255773,288,72903.17681,5.825,4.26,4.755,6.2,1.6561,
1999-01-15,r990112a_BOE,United Kingdom,Speech,George,False,2550,BOE,Bank of England,1999,en,0.9964,-0.528455280256461,-0.7485165,False,True,False,False,4857.100098,6.0,11.11,1.6,,5941.0,255773,288,72903.17681,6.026,4.285,4.747,6.2,1.6503,
